"year","doy","hour","zen","solar","netsolar","dw_solar","up_solar","temp","rh","windspeed","precip","day_length"
2008,1,0,161.51,0.299,0,0,0.32,-4.185,0.9059,12.34,0,8
2008,1,1,154.3485,0.299,0,0,0.625,-5.65,0.90405,12.22,0,8.00012704654157
2008,1,2,144.0765,0.138,0,0,0.55,-7.21,0.89225,11.985,0,8.00029154576887
2008,1,3,132.8355,0.092,0,0,0.06,-7.645,0.8932,11.54,0,8.00045737609963
2008,1,4,121.383,0,0,0,0,-7.3,0.88135,11.51,0,8.00061651493601
2008,1,5,110.077,0.046,0,0,0.005,-7.115,0.8532,10.975,0,8.00075919740359
2008,1,6,99.185,0.092,0.14,0,0,-6.915,0.8584,9.37,0,8.00087963908131
2008,1,7,88.758,9.798,4.22,1.62,1.57,-7.05,0.8648,9.545,0,8.00148872775073
2008,1,8,79.7375,67.367,25.93,28.12,9.255,-7.42,0.8592,9.91,0,8.29998004310296
2008,1,9,72.1185,206.885,76.59,99.565,31.895,-7.835,0.8421,10.8,0,8.31202679647612
2008,1,10,66.525,342.999,126.735,169.1,53.265,-8.275,0.81675,10.985,0,8.31209425557761
2008,1,11,63.537,458.022,170.745,229.45,71.815,-8.75,0.80695,12.25,0,8.31209435189303
2008,1,12,63.5395,344.885,124.56,168.2,54.985,-8.695,0.8221,11.38,0,8.31209437860753
2008,1,13,66.529,322.115,112.67,156.95,55.585,-8.57,0.82405,11.04,0,8.3120943477066
2008,1,14,72.1245,234.876,75.515,112.74,47.275,-8.78,0.8501,10.95,0,8.31209435891461
2008,1,15,79.745,136.712,37.47,64.65,35.605,-9.5,0.8537,12.05,0,8.31209438184885
2008,1,16,88.7655,24.104,6.91,8.745,6.77,-9.96,0.82335,11.765,0,8.24032806964758
2008,1,17,99.1935,0.092,0.06,0,0.38,-10.64,0.81925,12.28,0,8.03302926361607
2008,1,18,110.0865,0,0,0,0.185,-11.495,0.7912,13.305,0,8.03171952192456
2008,1,19,121.39,0,0,0,0.065,-12.135,0.78935,12.63,0,8.03164267147801
2008,1,20,132.8375,0,0,0,0.275,-12.875,0.7868,12.515,0,8.03160533966827
2008,1,21,144.0705,0,0,0,0.105,-13.64,0.7899,11.485,0,8.03160823713238
2008,1,22,154.3225,0.023,0,0,0.085,-14.1,0.7913,9.9,0,8.03165131363904
2008,1,23,161.4515,0,0,0,0.095,-14.575,0.80705,9.97,0,8.03173354209805
2008,2,0,161.4655,0,0,0,0.11,-15.115,0.8098,9.985,0,8.03184698259654
2008,2,1,154.3595,0,0,0,0.085,-15.57,0.8117,9.3,0,8.03198525211461
2008,2,2,144.112,0,0,0,0.09,-15.975,0.80895,8.44,0,8.0321389426838
2008,2,3,132.8795,0,0,0,0.04,-16.32,0.80505,8,0,8.03229709020579
2008,2,4,121.4255,0,0,0,0.01,-16.5,0.80715,8.48,0,8.03244903082167
2008,2,5,110.1165,0,0,0,0.03,-16.7,0.81435,8.655,0,8.03258429018157
2008,2,6,99.2125,0.092,0.165,0,0.095,-16.925,0.82105,8.36,0,8.0326952084313
2008,2,7,88.7725,40.871,13.255,15.34,12.65,-16.935,0.8187,8.415,0,8.28897759521469
2008,2,8,79.7375,280.37,81.955,142.995,82.545,-16.45,0.8084,8.025,0,8.38481631540166
2008,2,9,72.0975,565.202,157.44,292.55,159.575,-15.6,0.80095,8.03,0,8.3854619769088
