"year","doy","hour","zen","solar","netsolar","dw_solar","up_solar","temp","rh","windspeed","precip","day_length"
2009,294,10,53.5286666666667,1143.43235,438.308333333333,567.195,139.766666666667,18.2783333333333,0.538916666666667,7.415,0,10.4518791143578
2009,294,11,51.1528333333333,1112.70741666667,427.381666666667,552.145,135.16,19.4416666666667,0.520916666666667,7.3,0,10.451879070973
2009,294,12,52.463,903.039416666667,346.968333333333,445.971666666667,109.573333333333,19.8483333333333,0.5204,7.47166666666667,0,10.4518790823466
2009,294,13,57.2046666666667,473.213423333333,183.18,229.806666666667,56.0583333333333,19.1883333333333,0.543516666666667,7.50833333333333,0,10.4518791006313
2009,294,14,64.6051666666667,371.95301,143.481666666667,178.773333333333,44.5633333333333,18.925,0.565083333333333,7.15666666666667,0,10.4518791461113
2009,294,15,73.8216666666667,237.056706666667,91.4033333333333,111.785,28.4433333333333,18.5233333333333,0.573516666666667,6.56833333333333,0,10.4518792769434
2009,294,16,84.0968333333333,70.4003166666667,27.22,29.4616666666667,8.37166666666667,17.35,0.6002,4.62666666666667,0,10.4518792208337
2009,294,17,95.3063333333333,0.78131,0.333333333333333,0,0.0616666666666667,16.0316666666667,0.61665,4.39,0,10.453979940867
2009,294,18,106.790666666667,0.105493333333333,0,0,0.0533333333333333,14.9233333333333,0.664683333333333,4.39666666666667,0,10.4634321572635
2009,294,19,118.216833333333,0.0428566666666667,0,0,0.0216666666666667,14.0333333333333,0.699833333333333,4.60166666666667,0,10.4637322281206
2009,294,20,129.258833333333,0.161536666666667,0,0,0.0816666666666667,13.3316666666667,0.734016666666667,3.87333333333333,0,10.4638289779377
2009,294,21,139.281166666667,0.00329666666666667,0,0,0.00166666666666667,12.7233333333333,0.762683333333333,2.87166666666667,0,10.4639590078939
2009,294,22,147.0865,0,0,0,0,12.2183333333333,0.790716666666667,2.31,0,10.4641127782797
2009,294,23,150.730833333333,0,0,0,0,12.3216666666667,0.787716666666667,2.39333333333333,0,10.4642839941245
2009,295,0,148.734333333333,0,0,0,0,12.0066666666667,0.8052,1.92333333333333,1.016,10.4644604880522
2009,295,1,141.967166666667,0,0,0,0,11.6366666666667,0.82005,2.25833333333333,1.016,10.4646303119124
2009,295,2,132.462666666667,0,0,0,0,11.055,0.850683333333333,2.195,1.016,10.4647816472976
2009,295,3,121.655,0,0,0,0,10.79,0.866966666666667,2.12166666666667,1.016,10.464904302022
2009,295,4,110.312166666667,0,0,0,0,10.9533333333333,0.863066666666667,2.525,1.016,10.4649893422248
2009,295,5,98.8741666666667,0.0725266666666667,0.0366666666666667,0,0,11.275,0.8532,2.53666666666667,1.016,10.4650313105849
2009,295,6,87.4626666666667,16.3547633333333,6.64166666666667,4.85,1.62666666666667,12.0583333333333,0.828616666666667,2.95166666666667,1.016,10.4648280392246
2009,295,7,76.9863333333333,79.8584533333333,31.92,35.2016666666667,8.45333333333333,12.845,0.806333333333333,1.34833333333333,1.016,10.4281427558003
