"year","doy","hour","zen","solar","netsolar","dw_solar","up_solar","temp","rh","windspeed","precip","day_length"
2007,1,0,161.5005,0.046,0,0,0.715,3.74,0.8323,12.16,0.0211666666666667,8
2007,1,1,154.3525,0,0,0,0.685,2.155,0.8465,11.845,0.0211666666666667,8.00011594574291
2007,1,2,144.087,0.092,0,0,0.39,0.995,0.8439,11.91,0.0211666666666667,8.00027004269104
2007,1,3,132.847,0.115,0,0,0.22,0.55,0.8323,11.735,0.0211666666666667,8.00043532576476
2007,1,4,121.3945,0.322,0,0,0.075,0.05,0.8838,10.155,0.0211666666666667,8.00060220518428
2007,1,5,110.0875,0.322,0,0,0,0.31,0.87295,10.49,0.0211666666666667,8.00075937222027
2007,1,6,99.193,0.46,0,0,0.005,0.51,0.88715,9.48,0.0211666666666667,8.00089309196971
2007,1,7,88.763,3.979,0.57,0,0.165,0.77,0.9041,9.19,0.0211666666666667,8.00107577653778
2007,1,8,79.7395,23.92,7.345,4.995,1.94,0.96,0.93365,8.485,0.0211666666666667,8.02121703595569
2007,1,9,72.115,53.843,18.13,17.48,4.095,1.045,0.9435,9.49,0.0211666666666667,8.22980100143702
2007,1,10,66.5135,71.507,24.395,24.725,5.225,0.925,0.92875,9.825,0.0211666666666667,8.23423657247129
2007,1,11,63.5215,155.296,57.275,65.095,13.65,1.225,0.88315,9.725,0.0211666666666667,8.23424390747657
2007,1,12,63.516,416.208,162.91,200.785,45.645,2.14,0.8513,9.625,0.0211666666666667,8.23424358521823
2007,1,13,66.5005,160.218,59.765,70.51,16.315,2.8,0.83975,7.785,0.0211666666666667,8.23424362950497
2007,1,14,72.0945,147.867,56.185,66.52,15.77,3.235,0.80055,8.295,0.0211666666666667,8.23424358629896
2007,1,15,79.713,136.16,52.9,63.22,15.775,3.49,0.79125,7.52,0.0211666666666667,8.23424361878736
2007,1,16,88.734,21.114,6.685,6.275,2.185,3.395,0.81955,5.975,0.0211666666666667,8.14054265312226
2007,1,17,99.1595,0.069,0,0,0.085,3.02,0.83765,5.735,0.0211666666666667,7.96478450867256
2007,1,18,110.051,0.115,0,0,0.17,2.39,0.8572,3.72,0.0211666666666667,7.96370030471461
2007,1,19,121.3555,0.391,0,0,0.05,0.945,0.90825,3.095,0.0211666666666667,7.96361866164639
2007,1,20,132.8055,0.46,0,0,0,0.33,0.9261,4.28,0.0211666666666667,7.96357621157463
2007,1,21,144.038,0.299,0,0,0.035,-0.025,0.93035,3.09,0.0211666666666667,7.96358021651459
2007,1,22,154.2895,0.161,0,0,0,-0.35,0.9391,2.59,0.0211666666666667,7.96362775385762
2007,1,23,161.422,0.23,0,0,0,-0.63,0.93705,2.91,0.0211666666666667,7.96371377760609
2007,2,0,161.456,0.184,0,0,0,-0.925,0.94525,2.32,0,7.96383522882911
2007,2,1,154.363,0.092,0,0,0,-1.17,0.94825,2.025,0,7.96398001163701
2007,2,2,144.1205,0.092,0,0,0,-1.43,0.95115,1.43,0,7.96413776183501
2007,2,3,132.8895,0.092,0,0,0,-1.75,0.95935,1.695,0,7.96429942189696
2007,2,4,121.4355,0.023,0,0,0,-2.085,0.9613,2.205,0,7.96445397670707
2007,2,5,110.125,0.023,0,0,0,-2.59,0.972,2.515,0,7.9645893411937
2007,2,6,99.221,0.138,0,0,0,-2.85,0.9722,2.425,0,7.96470075167348
2007,2,7,88.7785,44.183,13.59,15.515,10.095,-3.09,0.97575,2.165,0,8.24684210757882
2007,2,8,79.7365,284.832,103.445,135.68,52.8,-1.86,0.9532,2.135,0,8.32098618161161
2007,2,9,72.0925,576.679,226.425,285.985,81.395,0.08,0.90905,3.3,0,8.32149161839745
2007,2,10,66.466,765.831,304.11,389.09,103.22,1.385,0.87275,4.675,0,8.32149403769677
2007,2,11,63.446,834.969,330.355,433.01,118.24,2.375,0.8467,5.315,0,8.32149403332987
2007,2,12,63.4175,917.838,360.205,478.295,133.855,3.75,0.808,5.91,0,8.32149404952575
2007,2,13,66.384,806.104,312.425,416.62,120.55,4.7,0.76945,5.57,0,8.32149409778092
2007,2,14,71.9655,582.13,221.78,296.58,93.57,5.38,0.7475,5.025,0,8.32149429994192
2007,2,15,79.5785,285.821,105.785,139.785,50.07,5.475,0.74725,4.845,0,8.32149418312341
2007,2,16,88.604,35.351,12.215,14.07,5.62,4.34,0.8149,3.49,0,8.31910497934334
2007,2,17,99.02,0.46,0,0,0.025,2.905,0.8843,4.015,0,8.04375924568377
2007,2,18,109.911,0.391,0,0,0.025,1.955,0.89055,4.93,0,8.04103313743166
2007,2,19,121.216,0.322,0,0,0.005,1.705,0.8981,4.635,0,8.04096098900691
2007,2,20,132.666,0.414,0,0,0,1.77,0.8955,5.355,0,8.04093018196681
2007,2,21,143.898,0.437,0,0,0.015,1.5,0.9014,4.57,0,8.04094536158912
2007,2,22,154.151,0.46,0,0,0.02,0.97,0.922,4.455,0,8.04100709930514
2007,2,23,161.303,0.368,0,0,0,0.64,0.9344,4.16,0,8.04111066940868
2007,3,0,161.402,0.437,0,0,0,0.26,0.94525,4.355,0,8.04124806896098
2007,3,1,154.3655,0.391,0,0,0,0.195,0.9463,4.935,0,8.04141238654806
2007,3,2,144.1485,0.46,0,0,0,0.05,0.9448,4.89,0,8.04159063401786
2007,3,3,132.926,0.437,0,0,0,-0.035,0.938,5.025,0,8.04177407144932
2007,3,4,121.4735,0.322,0,0,0,-0.125,0.93685,4.825,0,8.04194333300804
2007,3,5,110.1555,0.414,0,0,0,-0.39,0.93395,4.83,0,8.04208922500431
2007,3,6,99.2435,0.322,0,0,0.06,-0.795,0.94235,4.66,0,8.04220352581662
2007,3,7,88.786,49.519,15.06,15.275,9.145,-0.995,0.9476,5.115,0,8.32746948342633
2007,3,8,79.73,306.452,107.01,138.54,52.14,0.095,0.9178,5.755,0,8.37425506080339
2007,3,9,72.062,559.015,225.835,286.195,82.155,1.415,0.8933,5.195,0,8.37455432549089
2007,3,10,66.4115,763.807,309.73,401.02,109.995,2.83,0.84965,5.69,0,8.37455544999685
2007,3,11,63.366,881.383,349.005,463.38,130.105,4.225,0.81755,7.39,0,8.37455548156394
2007,3,12,63.3115,882.533,345.03,462.025,132.975,5.75,0.79855,7.485,0,8.37455544369636
2007,3,13,66.2595,742.095,285.265,383.52,114.785,6.88,0.75015,7.815,0,8.37455545911788
2007,3,14,71.8295,490.774,184.655,247.845,79.37,6.995,0.7444,7.91,0,8.37455550428571
2007,3,15,79.4385,174.639,64.065,82.9,26.255,5.81,0.7707,7.87,0,8.37455567849048
2007,3,16,88.471,25.346,8.8,9.37,3.475,4.595,0.8538,5.32,0,8.33567574021927
2007,3,17,98.876,0.414,0,0,0.035,4.2,0.8764,5.34,0,8.14771507890261
2007,3,18,109.769,0.23,0,0,0,3.97,0.8819,4.755,0,8.14677781255451
2007,3,19,121.0735,0.391,0,0,0,3.85,0.88995,5.225,0,8.14671862497442
2007,3,20,132.523,0.437,0,0,0.05,3.845,0.88025,5.785,0,8.14669933373457
2007,3,21,143.7535,0.391,0,0,0.04,3.165,0.8944,5.345,0,8.14672762954702
2007,3,22,154.0085,0.46,0,0,0.02,2.53,0.91735,4.43,0,8.1468007506671
2007,3,23,161.179,0.46,0,0,0,2.355,0.9282,5.25,0,8.14691722781935
2007,4,0,161.3375,0.46,0,0,0,2.81,0.9224,6.575,0.41275,8.14706611848481
2007,4,1,154.363,0.46,0,0,0,3.345,0.895,7.555,0.41275,8.14723916148728
2007,4,2,144.172,0.46,0,0,0.06,3.425,0.8892,6.785,0.41275,8.14742391860669
2007,4,3,132.956,0.46,0,0,0.05,3.04,0.90145,5.565,0.41275,8.14760709988449
2007,4,4,121.5045,0.414,0,0,0.005,4.015,0.88105,7.54,0.41275,8.14777584906155
